CNTYVTD,VTDKEY,CarterR_22P_U.S. Rep 31,GarapatiR_22P_U.S. Rep 31,WilliamsR_22P_U.S. Rep 31,CarterR_22P_U.S. Rep 31_Percentage,GarapatiR_22P_U.S. Rep 31_Percentage,WilliamsR_22P_U.S. Rep 31_Percentage
270101,189,593,43,119,0.785430463576159,0.05695364238410596,0.1576158940397351
270102,190,396,43,72,0.7749510763209393,0.08414872798434442,0.14090019569471623
270103,191,218,9,32,0.8416988416988417,0.03474903474903475,0.12355212355212356
270104,192,560,24,88,0.8333333333333334,0.03571428571428571,0.13095238095238096
270105,193,261,7,39,0.8501628664495114,0.02280130293159609,0.1270358306188925
270107,195,63,11,15,0.7078651685393258,0.12359550561797752,0.16853932584269662
270108,196,323,19,56,0.8115577889447236,0.04773869346733668,0.1407035175879397
270110,198,24,4,5,0.7272727272727273,0.12121212121212122,0.15151515151515152
270111,199,349,12,96,0.7636761487964989,0.0262582056892779,0.2100656455142232
270113,200,463,30,63,0.8327338129496403,0.0539568345323741,0.11330935251798561
270114,201,233,10,45,0.8090277777777778,0.034722222222222224,0.15625
270115,202,563,59,94,0.7863128491620112,0.0824022346368715,0.13128491620111732
270118,205,344,20,62,0.8075117370892019,0.046948356807511735,0.14553990610328638
270119,206,212,13,39,0.803030303030303,0.04924242424242424,0.14772727272727273
270201,207,212,9,30,0.8446215139442231,0.035856573705179286,0.11952191235059761
270202,208,328,15,51,0.8324873096446701,0.03807106598984772,0.12944162436548223
270203,209,767,47,126,0.8159574468085107,0.05,0.13404255319148936
270212,218,149,13,25,0.7967914438502673,0.06951871657754011,0.13368983957219252
270213,219,996,112,155,0.7885985748218527,0.08867775138558986,0.1227236737925574
270216,222,282,20,38,0.8294117647058824,0.058823529411764705,0.11176470588235295
270301,223,620,20,87,0.8528198074277854,0.027510316368638238,0.11966987620357634
270302,224,431,19,88,0.8011152416356877,0.03531598513011153,0.16356877323420074
270303,225,395,31,69,0.797979797979798,0.06262626262626263,0.1393939393939394
270304,226,68,3,9,0.85,0.0375,0.1125
270305,227,336,15,56,0.8255528255528255,0.036855036855036855,0.1375921375921376
270306,228,129,8,24,0.8012422360248447,0.049689440993788817,0.14906832298136646
270307,229,83,8,19,0.7545454545454545,0.07272727272727272,0.17272727272727273
270308,230,363,22,56,0.8231292517006803,0.049886621315192746,0.12698412698412698
270309,231,234,21,43,0.785234899328859,0.07046979865771812,0.14429530201342283
270310,232,124,9,19,0.8157894736842105,0.05921052631578947,0.125
270311,233,565,32,98,0.8129496402877698,0.0460431654676259,0.1410071942446043
270312,234,300,17,52,0.8130081300813008,0.04607046070460705,0.14092140921409213
270313,235,719,67,115,0.7980022197558269,0.07436182019977802,0.12763596004439512
270314,236,226,19,42,0.7874564459930313,0.06620209059233449,0.14634146341463414
270315,237,308,28,49,0.8,0.07272727272727272,0.12727272727272726
270317,238,214,9,35,0.8294573643410853,0.03488372093023256,0.13565891472868216
270318,239,459,24,69,0.8315217391304348,0.043478260869565216,0.125
270319,240,464,28,74,0.8197879858657244,0.04946996466431095,0.13074204946996468
350001,1055,112,10,49,0.6549707602339181,0.05847953216374269,0.28654970760233917
350002,1056,106,10,64,0.5888888888888889,0.05555555555555555,0.35555555555555557
350003,1057,143,29,76,0.5766129032258065,0.11693548387096774,0.3064516129032258
350004,1058,103,13,27,0.7202797202797203,0.09090909090909091,0.1888111888111888
350005,1059,185,18,124,0.5657492354740061,0.05504587155963303,0.37920489296636084
350006,1060,162,25,91,0.5827338129496403,0.08992805755395683,0.3273381294964029
350007,1061,142,21,37,0.71,0.105,0.185
350008,1062,353,56,143,0.6394927536231884,0.10144927536231885,0.25905797101449274
350009,1063,143,12,52,0.6908212560386473,0.057971014492753624,0.25120772946859904
350010,1064,198,24,55,0.7148014440433214,0.08664259927797834,0.19855595667870035
350011,1065,149,13,53,0.6930232558139535,0.06046511627906977,0.24651162790697675
530001,1353,260,62,159,0.5405405405405406,0.1288981288981289,0.3305613305613306
530002,1354,437,120,254,0.5388409371146733,0.14796547472256474,0.31319358816276205
530003,1355,143,22,97,0.5458015267175572,0.08396946564885496,0.3702290076335878
530004,1356,327,89,223,0.5117370892018779,0.13928012519561817,0.3489827856025039
530005,1357,237,46,78,0.6565096952908587,0.12742382271468145,0.21606648199445982
530006,1358,93,16,52,0.577639751552795,0.09937888198757763,0.32298136645962733
530007,1359,101,30,68,0.507537688442211,0.1507537688442211,0.3417085427135678
530008,1360,208,41,147,0.5252525252525253,0.10353535353535354,0.3712121212121212
530009,1361,459,97,260,0.5625,0.11887254901960784,0.31862745098039214
530010,1362,281,54,161,0.5665322580645161,0.10887096774193548,0.3245967741935484
530011,1363,78,11,71,0.4875,0.06875,0.44375
530012,1364,276,38,111,0.6494117647058824,0.08941176470588236,0.2611764705882353
530013,1365,150,22,81,0.5928853754940712,0.08695652173913043,0.3201581027667984
530014,1366,109,20,46,0.6228571428571429,0.11428571428571428,0.26285714285714284
530015,1367,142,20,69,0.6147186147186147,0.08658008658008658,0.2987012987012987
530016,1368,97,8,43,0.6554054054054054,0.05405405405405406,0.2905405405405405
530017,1369,343,102,201,0.5309597523219814,0.15789473684210525,0.3111455108359133
530018,1370,128,31,91,0.512,0.124,0.364
530019,1371,517,187,294,0.5180360721442886,0.187374749498998,0.29458917835671344
530020,1372,440,113,265,0.5378973105134475,0.13814180929095354,0.32396088019559904
990101,1985,361,85,118,0.6400709219858156,0.15070921985815602,0.20921985815602837
990102,1986,268,42,54,0.7362637362637363,0.11538461538461539,0.14835164835164835
990103,1987,68,17,18,0.6601941747572816,0.1650485436893204,0.17475728155339806
990104,1988,372,55,101,0.7045454545454546,0.10416666666666667,0.19128787878787878
990205,1989,333,55,124,0.650390625,0.107421875,0.2421875
990206,1990,84,24,28,0.6176470588235294,0.17647058823529413,0.20588235294117646
990207,1991,320,52,86,0.6986899563318777,0.11353711790393013,0.18777292576419213
990308,1992,659,99,165,0.71397616468039,0.10725893824485373,0.17876489707475623
990309,1993,132,19,40,0.6910994764397905,0.09947643979057591,0.2094240837696335
990310,1994,130,16,42,0.6914893617021277,0.0851063829787234,0.22340425531914893
990311,1995,0,0,1,0.0,0.0,1.0
990412,1996,232,43,67,0.6783625730994152,0.12573099415204678,0.195906432748538
990413,1997,379,70,118,0.6684303350970018,0.12345679012345678,0.20811287477954143
990414,1998,87,22,29,0.6304347826086957,0.15942028985507245,0.21014492753623187
990415,1999,58,10,11,0.7341772151898734,0.12658227848101267,0.13924050632911392
990416,2000,174,31,54,0.6718146718146718,0.11969111969111969,0.2084942084942085
1930001,4192,158,33,41,0.6810344827586207,0.14224137931034483,0.17672413793103448
1930004,4193,28,4,10,0.6666666666666666,0.09523809523809523,0.23809523809523808
1930005,4194,22,5,9,0.6111111111111112,0.1388888888888889,0.25
1930007,4195,154,15,125,0.5238095238095238,0.05102040816326531,0.42517006802721086
1930009,4196,31,5,7,0.7209302325581395,0.11627906976744186,0.16279069767441862
1930012,4197,35,3,12,0.7,0.06,0.24
1930014,4198,31,6,7,0.7045454545454546,0.13636363636363635,0.1590909090909091
1930015,4199,39,6,11,0.6964285714285714,0.10714285714285714,0.19642857142857142
1930017,4200,28,6,8,0.6666666666666666,0.14285714285714285,0.19047619047619047
1930022,4201,182,30,76,0.6319444444444444,0.10416666666666667,0.2638888888888889
1930023,4202,177,47,55,0.6344086021505376,0.16845878136200718,0.1971326164874552
4910119,9464,315,36,62,0.7627118644067796,0.08716707021791767,0.15012106537530268
4910182,9489,102,16,23,0.723404255319149,0.11347517730496454,0.16312056737588654
4910184,9490,69,5,15,0.7752808988764045,0.056179775280898875,0.16853932584269662
4910191,9493,38,11,12,0.6229508196721312,0.18032786885245902,0.19672131147540983
4910192,9494,24,3,2,0.8275862068965517,0.10344827586206896,0.06896551724137931
4910201,9496,194,23,43,0.7461538461538462,0.08846153846153847,0.16538461538461538
4910202,9497,39,4,15,0.6724137931034483,0.06896551724137931,0.25862068965517243
4910203,9498,18,0,6,0.75,0.0,0.25
4910204,9499,223,26,56,0.7311475409836066,0.08524590163934426,0.18360655737704917
4910205,9500,48,6,15,0.6956521739130435,0.08695652173913043,0.21739130434782608
4910206,9501,254,35,72,0.703601108033241,0.09695290858725762,0.1994459833795014
4910207,9502,410,40,101,0.7441016333938294,0.07259528130671507,0.18330308529945555
4910208,9503,138,25,62,0.6133333333333333,0.1111111111111111,0.27555555555555555
4910209,9504,421,40,97,0.7544802867383512,0.07168458781362007,0.17383512544802868
4910210,9505,265,23,125,0.6416464891041163,0.05569007263922518,0.3026634382566586
4910229,9507,49,6,8,0.7777777777777778,0.09523809523809523,0.12698412698412698
4910230,9508,275,38,81,0.6979695431472082,0.09644670050761421,0.20558375634517767
4910231,9509,124,16,51,0.6492146596858639,0.08376963350785341,0.2670157068062827
4910243,9510,235,36,79,0.6714285714285714,0.10285714285714286,0.2257142857142857
4910244,9511,335,48,110,0.6795131845841785,0.0973630831643002,0.2231237322515213
4910245,9512,336,54,141,0.632768361581921,0.1016949152542373,0.2655367231638418
4910251,9513,23,1,4,0.8214285714285714,0.03571428571428571,0.14285714285714285
4910252,9514,335,56,97,0.6864754098360656,0.11475409836065574,0.1987704918032787
4910253,9515,414,43,80,0.770949720670391,0.08007448789571694,0.148975791433892
4910254,9516,248,34,116,0.6231155778894473,0.08542713567839195,0.2914572864321608
4910255,9517,166,23,59,0.6693548387096774,0.09274193548387097,0.23790322580645162
4910256,9518,126,23,49,0.6363636363636364,0.11616161616161616,0.2474747474747475
4910257,9519,267,27,100,0.6776649746192893,0.06852791878172589,0.25380710659898476
4910258,9520,27,7,8,0.6428571428571429,0.16666666666666666,0.19047619047619047
4910259,9521,147,20,36,0.7241379310344828,0.09852216748768473,0.17733990147783252
4910261,9522,176,27,59,0.6717557251908397,0.10305343511450382,0.22519083969465647
4910262,9523,239,19,54,0.7660256410256411,0.060897435897435896,0.17307692307692307
4910263,9524,256,29,75,0.7111111111111111,0.08055555555555556,0.20833333333333334
4910264,9525,162,28,49,0.6778242677824268,0.11715481171548117,0.20502092050209206
4910267,9527,176,26,78,0.6285714285714286,0.09285714285714286,0.2785714285714286
4910276,9528,153,12,46,0.7251184834123223,0.05687203791469194,0.21800947867298578
4910277,9529,391,54,108,0.7070524412296564,0.09764918625678119,0.19529837251356238
4910278,9530,258,42,70,0.6972972972972973,0.11351351351351352,0.1891891891891892
4910279,9531,10,0,3,0.7692307692307693,0.0,0.23076923076923078
4910283,9532,214,25,61,0.7133333333333334,0.08333333333333333,0.20333333333333334
4910284,9533,319,35,79,0.7367205542725174,0.08083140877598152,0.18244803695150116
4910287,9534,178,26,48,0.7063492063492064,0.10317460317460317,0.19047619047619047
4910301,9535,245,50,55,0.7,0.14285714285714285,0.15714285714285714
4910302,9536,82,10,21,0.7256637168141593,0.08849557522123894,0.18584070796460178
4910305,9538,98,12,26,0.7205882352941176,0.08823529411764706,0.19117647058823528
4910306,9539,673,94,141,0.7411894273127754,0.10352422907488987,0.15528634361233482
4910307,9540,143,22,34,0.7185929648241206,0.11055276381909548,0.1708542713567839
4910308,9541,110,21,22,0.7189542483660131,0.13725490196078433,0.1437908496732026
4910309,9542,423,63,127,0.6900489396411092,0.10277324632952692,0.20717781402936378
4910310,9543,217,17,62,0.7331081081081081,0.057432432432432436,0.20945945945945946
4910311,9544,30,0,4,0.8823529411764706,0.0,0.11764705882352941
4910312,9545,178,28,38,0.7295081967213115,0.11475409836065574,0.1557377049180328
4910314,9546,256,43,58,0.7170868347338936,0.12044817927170869,0.16246498599439776
4910318,9548,33,0,2,0.9428571428571428,0.0,0.05714285714285714
4910319,9549,13,3,6,0.5909090909090909,0.13636363636363635,0.2727272727272727
4910320,9550,179,29,86,0.608843537414966,0.09863945578231292,0.2925170068027211
4910331,9554,33,13,16,0.532258064516129,0.20967741935483872,0.25806451612903225
4910332,9555,242,35,55,0.7289156626506024,0.10542168674698796,0.16566265060240964
4910333,9556,71,11,17,0.7171717171717171,0.1111111111111111,0.1717171717171717
4910341,9559,268,43,67,0.708994708994709,0.11375661375661375,0.17724867724867724
4910342,9560,132,19,39,0.6947368421052632,0.1,0.20526315789473684
4910343,9561,465,53,111,0.739268680445151,0.08426073131955485,0.17647058823529413
4910344,9562,280,33,93,0.6896551724137931,0.0812807881773399,0.229064039408867
4910345,9563,185,20,55,0.7115384615384616,0.07692307692307693,0.21153846153846154
4910346,9564,249,30,77,0.699438202247191,0.08426966292134831,0.21629213483146068
4910360,9565,305,49,83,0.6979405034324943,0.11212814645308924,0.18993135011441648
4910367,9566,11,0,4,0.7333333333333333,0.0,0.26666666666666666
4910368,9567,220,38,66,0.6790123456790124,0.11728395061728394,0.2037037037037037
4910369,9568,223,17,67,0.7263843648208469,0.05537459283387622,0.2182410423452769
4910370,9569,199,25,53,0.7184115523465704,0.09025270758122744,0.19133574007220217
4910371,9570,284,28,65,0.753315649867374,0.07427055702917772,0.1724137931034483
4910372,9571,420,60,108,0.7142857142857143,0.10204081632653061,0.1836734693877551
4910379,9572,559,54,119,0.7636612021857924,0.07377049180327869,0.16256830601092895
4910380,9573,21,3,7,0.6774193548387096,0.0967741935483871,0.22580645161290322
4910381,9574,725,188,125,0.6984585741811176,0.1811175337186898,0.12042389210019268
4910390,9575,246,31,68,0.7130434782608696,0.08985507246376812,0.19710144927536233
4910390,9576,0,0,0,0.0,0.0,0.0
4910391,9577,221,20,80,0.6884735202492211,0.06230529595015576,0.24922118380062305
4910392,9578,470,59,103,0.7436708860759493,0.09335443037974683,0.1629746835443038
4910393,9579,754,118,121,0.7593152064451159,0.11883182275931521,0.12185297079556898
4910394,9580,738,184,106,0.7178988326848249,0.17898832684824903,0.10311284046692606
4910395,9581,174,30,31,0.7404255319148936,0.1276595744680851,0.13191489361702127
4910396,9582,396,88,72,0.7122302158273381,0.15827338129496402,0.12949640287769784
4910397,9583,554,92,72,0.7715877437325905,0.12813370473537605,0.10027855153203342
4910401,9586,253,24,70,0.729106628242075,0.069164265129683,0.2017291066282421
4910402,9587,246,31,63,0.7235294117647059,0.09117647058823529,0.18529411764705883
4910403,9588,122,23,46,0.6387434554973822,0.12041884816753927,0.24083769633507854
4910409,9589,53,5,25,0.6385542168674698,0.060240963855421686,0.30120481927710846
4910410,9590,200,21,83,0.6578947368421053,0.06907894736842106,0.2730263157894737
4910411,9591,361,38,119,0.696911196911197,0.07335907335907337,0.22972972972972974
4910412,9592,232,7,56,0.7864406779661017,0.023728813559322035,0.18983050847457628
4910415,9594,277,22,59,0.7737430167597765,0.061452513966480445,0.164804469273743
4910419,9596,70,7,17,0.7446808510638298,0.07446808510638298,0.18085106382978725
4910420,9597,164,30,68,0.6259541984732825,0.11450381679389313,0.2595419847328244
4910422,9599,259,34,71,0.7115384615384616,0.09340659340659341,0.19505494505494506
4910424,9600,521,50,146,0.7266387726638772,0.0697350069735007,0.20362622036262204
4910425,9601,56,5,13,0.7567567567567568,0.06756756756756757,0.17567567567567569
4910427,9603,265,42,80,0.6847545219638242,0.10852713178294573,0.20671834625322996
4910428,9604,275,28,84,0.710594315245478,0.07235142118863049,0.21705426356589147
4910429,9605,201,22,34,0.7821011673151751,0.08560311284046693,0.13229571984435798
4910432,9606,10,3,4,0.5882352941176471,0.17647058823529413,0.23529411764705882
4910433,9607,395,50,124,0.6942003514938488,0.08787346221441125,0.2179261862917399
4910434,9608,192,18,56,0.7218045112781954,0.06766917293233082,0.21052631578947367
4910436,9609,175,19,19,0.8215962441314554,0.0892018779342723,0.0892018779342723
4910437,9610,467,52,78,0.7822445561139029,0.08710217755443886,0.1306532663316583
4910456,9611,164,7,41,0.7735849056603774,0.0330188679245283,0.19339622641509435
4910468,9612,44,6,13,0.6984126984126984,0.09523809523809523,0.20634920634920634
4910470,9613,246,24,82,0.6988636363636364,0.06818181818181818,0.23295454545454544
4910471,9614,46,5,8,0.7796610169491526,0.0847457627118644,0.13559322033898305
4910472,9615,69,3,27,0.696969696969697,0.030303030303030304,0.2727272727272727
4910473,9616,83,7,32,0.680327868852459,0.05737704918032787,0.26229508196721313
4910482,9617,424,56,78,0.7598566308243727,0.1003584229390681,0.13978494623655913
4910484,9618,295,31,61,0.7622739018087855,0.08010335917312661,0.15762273901808785
4910485,9619,159,17,35,0.7535545023696683,0.08056872037914692,0.16587677725118483
4910486,9620,186,23,45,0.7322834645669292,0.09055118110236221,0.17716535433070865
4910487,9621,19,5,4,0.6785714285714286,0.17857142857142858,0.14285714285714285
4910488,9622,240,18,63,0.7476635514018691,0.056074766355140186,0.19626168224299065
4910491,9625,257,16,80,0.7280453257790368,0.0453257790368272,0.22662889518413598
