CNTYVTD,VTDKEY,AbelR_24P_U.S. Rep 31,AndersonR_24P_U.S. Rep 31,CarterR_24P_U.S. Rep 31,GarapatiR_24P_U.S. Rep 31,LatimerR_24P_U.S. Rep 31,WilliamsR_24P_U.S. Rep 31
0270101,189,42,27,709,56,156,100
0270102,190,40,26,501,34,74,60
0270103,191,11,10,198,10,30,36
0270104,192,57,37,581,40,103,90
0270105,193,15,9,265,12,69,50
0270107,195,8,2,63,4,13,16
0270108,196,29,12,324,7,23,45
0270110,198,3,1,18,4,1,2
0270111,199,35,16,489,27,68,52
0270113,200,57,31,527,22,85,78
0270114,201,27,13,308,9,44,42
0270115,202,75,44,682,54,136,97
0270118,205,35,17,409,32,98,68
0270119,206,25,21,384,23,63,45
0270201,207,12,14,233,4,33,30
0270202,208,23,15,359,16,46,35
0270203,209,53,25,774,27,108,92
0270212,218,9,12,165,4,21,18
0270213,219,53,41,983,47,159,131
0270216,222,17,16,300,14,63,36
0270301,223,31,27,667,26,92,94
0270302,224,49,30,477,24,78,61
0270303,225,37,22,467,32,78,78
0270304,226,5,2,64,4,10,6
0270305,227,27,15,342,12,66,48
0270306,228,19,9,154,7,25,27
0270307,229,13,5,91,6,12,17
0270308,230,29,18,382,24,62,74
0270309,231,23,9,242,9,48,23
0270310,232,4,5,127,2,22,17
0270311,233,54,32,584,40,100,81
0270312,234,26,22,337,7,60,36
0270313,235,66,41,792,37,99,120
0270314,236,17,11,247,8,31,36
0270315,237,36,27,439,34,74,64
0270317,238,28,11,333,24,60,46
0270318,239,62,22,606,25,107,99
0270319,240,30,31,439,39,90,70
0350001,1055,14,15,129,4,18,30
0350002,1056,14,7,135,4,13,27
0350003,1057,10,13,191,13,23,39
0350004,1058,2,11,105,8,17,20
0350005,1059,19,17,263,11,26,55
0350006,1060,13,25,239,14,21,49
0350007,1061,9,13,140,15,16,27
0350008,1062,41,37,415,48,36,64
0350009,1063,15,12,147,18,25,31
0350010,1064,35,20,207,7,17,20
0350011,1065,21,13,169,4,15,18
0530001,1353,24,13,296,47,16,53
0530002,1354,14,28,456,64,41,99
0530003,1355,5,11,158,25,6,20
0530004,1356,18,30,439,62,34,114
0530005,1357,15,14,213,30,17,46
0530006,1358,8,6,111,14,2,22
0530007,1359,2,3,134,12,7,26
0530008,1360,16,7,241,22,19,61
0530009,1361,27,27,549,62,30,138
0530010,1362,16,7,313,43,35,63
0530011,1363,12,7,145,7,11,28
0530012,1364,24,11,322,29,27,79
0530013,1365,13,9,171,22,6,41
0530014,1366,2,2,114,13,14,22
0530015,1367,8,3,170,21,20,38
0530016,1368,10,6,108,7,10,18
0530017,1369,17,16,437,61,28,103
0530018,1370,13,14,179,16,10,45
0530019,1371,46,36,638,112,36,178
0530020,1372,29,21,516,93,20,116
0990101,1985,100,24,435,29,28,67
0990102,1986,39,11,280,17,36,44
0990103,1987,20,4,73,4,2,9
0990104,1988,90,22,388,31,37,65
0990205,1989,49,24,410,23,18,47
0990206,1990,21,7,109,10,11,9
0990207,1991,53,15,306,29,29,52
0990308,1992,116,36,673,44,31,85
0990309,1993,19,8,149,8,10,19
0990310,1994,16,10,153,2,6,21
0990311,1995,0,0,3,0,0,0
0990412,1996,34,10,249,17,16,34
0990413,1997,61,24,405,20,23,67
0990414,1998,20,8,92,9,6,18
0990415,1999,4,2,46,4,5,7
0990416,2000,40,9,192,13,18,34
1930001,4192,16,5,267,49,3,37
1930004,4193,4,0,31,6,3,6
1930005,4194,5,0,39,5,2,6
1930007,4195,19,16,318,21,25,72
1930009,4196,2,1,56,2,2,3
1930012,4197,5,0,59,7,1,9
1930014,4198,4,2,45,8,1,6
1930015,4199,5,4,56,10,3,8
1930017,4200,4,1,48,8,1,4
1930022,4201,27,8,265,40,13,49
1930023,4202,25,13,294,33,19,28
4910119,9464,15,15,318,13,23,43
4910182,9489,9,0,78,8,6,14
4910184,9490,1,1,62,2,4,9
4910191,9493,1,4,39,8,6,7
4910192,9494,0,1,20,5,3,3
4910201,9496,22,9,180,28,15,33
4910202,9497,1,1,28,3,12,11
4910203,9498,1,0,25,1,2,2
4910204,9499,17,9,197,19,18,36
4910205,9500,5,2,45,9,4,5
4910206,9501,24,8,301,26,24,57
4910207,9502,46,16,460,60,44,74
4910208,9503,18,5,168,13,18,37
4910209,9504,34,16,479,47,58,79
4910210,9505,27,16,315,32,32,71
4910229,9507,3,0,38,3,2,4
4910230,9508,28,7,257,32,33,44
4910231,9509,6,6,121,16,52,32
4910243,9510,22,15,241,37,24,59
4910244,9511,29,18,338,35,48,98
4910245,9512,27,20,407,30,39,82
4910251,9513,3,2,12,1,0,0
4910252,9514,21,11,302,42,33,61
4910253,9515,34,13,377,90,34,51
4910254,9516,16,12,213,42,138,48
4910255,9517,14,13,195,31,36,36
4910256,9518,11,17,153,30,19,42
4910257,9519,18,14,276,50,29,56
4910258,9520,5,2,31,10,9,14
4910259,9521,17,12,148,34,13,41
4910261,9522,14,6,200,26,25,39
4910262,9523,15,6,231,18,12,52
4910263,9524,12,15,270,37,21,46
4910264,9525,12,11,183,25,21,43
4910267,9527,23,14,222,25,22,55
4910276,9528,13,5,158,17,14,31
4910277,9529,24,30,365,73,117,67
4910278,9530,22,27,276,29,25,44
4910279,9531,1,1,7,0,2,1
4910283,9532,8,12,199,48,19,27
4910284,9533,21,16,332,48,28,47
4910287,9534,13,5,200,22,33,29
4910301,9535,16,16,234,49,31,28
4910302,9536,4,4,76,10,5,9
4910305,9538,12,8,115,28,19,31
4910306,9539,85,31,760,157,88,138
4910307,9540,6,4,151,31,18,21
4910308,9541,11,7,118,9,12,12
4910309,9542,29,11,521,93,52,85
4910310,9543,11,12,266,18,28,42
4910311,9544,1,2,30,4,2,3
4910312,9545,6,4,189,39,25,24
4910314,9546,22,14,296,37,17,58
4910318,9548,0,2,33,1,0,2
4910319,9549,1,0,15,2,1,0
4910320,9550,13,6,161,18,61,24
4910331,9554,5,2,33,9,2,1
4910332,9555,21,15,236,35,19,28
4910333,9556,4,8,53,8,4,6
4910341,9559,14,7,288,31,30,44
4910342,9560,10,3,143,10,12,19
4910343,9561,28,24,438,35,41,90
4910344,9562,20,20,284,39,40,62
4910345,9563,20,5,184,21,20,33
4910346,9564,18,9,238,41,28,50
4910360,9565,18,22,280,29,36,43
4910367,9566,0,1,4,2,3,3
4910368,9567,13,8,252,35,24,45
4910369,9568,31,14,246,22,28,71
4910370,9569,13,12,228,19,18,59
4910371,9570,22,10,296,37,38,59
4910372,9571,27,16,359,37,26,51
4910379,9572,42,23,559,51,77,103
4910380,9573,2,2,12,2,6,6
4910381,9574,38,27,697,269,100,90
4910390,9575,26,16,239,27,28,29
4910390,9576,0,0,0,0,0,0
4910391,9577,14,14,211,27,54,52
4910392,9578,34,23,535,107,61,89
4910393,9579,46,29,693,228,112,92
4910394,9580,30,47,577,384,86,89
4910395,9581,31,19,323,131,56,73
4910396,9582,21,22,359,119,66,68
4910397,9583,26,24,572,171,73,74
4910401,9586,16,12,248,15,31,49
4910402,9587,12,8,244,11,23,32
4910403,9588,22,17,163,17,17,34
4910409,9589,2,7,125,3,7,27
4910410,9590,23,13,240,17,15,42
4910411,9591,26,18,353,32,36,84
4910412,9592,38,9,235,16,13,39
4910415,9594,4,12,273,8,13,37
4910419,9596,13,4,45,3,8,8
4910420,9597,11,6,204,20,16,30
4910422,9599,9,12,251,17,21,57
4910424,9600,26,14,487,28,33,67
4910425,9601,3,2,75,1,4,17
4910427,9603,11,18,282,30,11,42
4910428,9604,14,11,318,36,15,66
4910429,9605,7,10,200,22,10,22
4910432,9606,2,1,10,1,0,2
4910433,9607,30,26,351,32,41,67
4910434,9608,3,6,173,16,18,38
4910436,9609,10,6,186,9,13,26
4910437,9610,23,21,369,47,40,63
4910456,9611,11,6,160,17,10,14
4910468,9612,7,2,53,7,9,17
4910470,9613,21,13,332,18,37,62
4910471,9614,1,3,39,5,2,8
4910472,9615,7,3,77,3,3,19
4910473,9616,4,4,73,6,5,10
4910482,9617,12,17,337,21,23,46
4910484,9618,10,14,237,18,12,43
4910485,9619,9,4,145,12,16,24
4910486,9620,12,10,211,26,14,33
4910487,9621,0,0,15,2,1,2
4910488,9622,12,9,234,10,18,28
4910491,9625,15,12,223,20,22,48
